番号,施設名,lat,lon,所在地,収容人数,連絡先,避難者数,内訳男性,内訳女性,飲料水,食事,使用可能トイレ,電気,ガス,生活用水,固定電話,携帯電話,データ通信,救護所設置,医療チームの巡回,昼間人数,夜間人数,75歳以上,未就学児,過密度,毛布等寝具,室温度管理,手洗い環境,トイレ掃除,土足禁止,下水,ごみ集積場所,館内禁煙,ペット収容所,下痢,嘔吐,咳・痰,発熱,人工呼吸器,在宅酸素,透析,糖尿病（要インスリン）,緊急性のある精神疾患,緊急歯科要治療,緊急処置を要する妊婦,要配慮者,うち医療的配慮者,うち福祉的配慮者,うち外国人,インフルエンザ,感染性胃腸炎,食中毒,その他緊急事項
sh30206022,万呂コミュニティセンター,33.7378081,135.400899,田辺市中万呂46-3,113,0739-25-1554,60,24.0,36.0,A,A,A,A,C,A,1,1,1,0,0,24,60,12,0,A,A,B,B,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,,0,1,0,,,,
sh30206004,会津小学校,33.7449948,135.396158,田辺市下万呂59-1,555,0739-22-1164,555,222.0,333.0,A,A,A,A,C,A,1,1,1,0,0,220,555,110,2,A,A,B,B,1,1,0,1,1,1,0,0,2,0,0,0,2,1,1,0,0,,0,1,0,,,,
sh30206025,芳養小学校,33.7474511,135.357901,田辺市芳養松原二丁目18－36,274,0739-22-1422,220,88.0,132.0,A,A,A,A,B,B,0,1,1,0,0,88,220,44,0,A,A,B,B,1,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,,1,0,0,,,,
sh30206044,田辺市体育センター,33.7512266,135.33813700000002,田辺市芳養町108-4,345,0739-25-2531,200,80.0,120.0,A,A,B,A,A,B,0,1,1,0,0,80,200,40,1,A,A,B,B,1,1,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,,0,1,0,,,,
sh30206067,新庄第二小学校,33.695640600000004,135.389291,田辺市新庄町3193,451,0739-22-1644,460,184.0,276.0,B,A,C,A,A,C,1,1,1,0,0,184,460,92,2,B,A,B,C,0,0,0,1,1,1,28,20,4,12,1,1,2,2,1,1,0,,0,0,0,,,,
sh30206068,新庄小学校,33.7150441,135.40022199999999,田辺市新庄町2300,198,0739-22-1604,103,41.0,62.0,A,A,C,A,C,A,1,1,1,0,0,41,103,20,16,A,A,A,C,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,,1,7,3,,,,ぜんそく
sh30401020,白浜第二小学校,33.67541729999999,135.345456,白浜町2234番地,600,0739-42-2345,60,24.0,36.0,A,A,A,A,A,A,0,1,0,0,0,24,60,12,1,A,A,B,A,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,,,
sh30401008,アンソレイユ日置,33.5799411,135.459054,白浜町大古13番地,493,0739-87-2300,30,12.0,18.0,A,A,A,A,A,A,1,1,1,0,0,12,30,6,0,A,A,C,B,1,0,0,1,1,1,0,0,3,1,0,0,0,1,0,0,0,,0,1,0,,,,
sh30401021,中央公民館,33.685158200000004,135.349853,白浜町1130番地の9,169,0739-42-2269,15,6.0,9.0,A,A,C,A,C,C,1,1,1,0,0,6,15,3,0,A,A,B,C,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,,,,
sh30401023,中央保健センター,33.68143,135.348498,白浜町1447番地,97,0739-43-0178,10,4.0,6.0,A,A,A,A,B,A,0,1,1,0,0,4,10,2,0,A,A,B,B,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,1,1,0,,,,
sh30401015,清掃センター,33.6820222,135.420681,白浜町保呂749番地,676,0739-45-3800,60,24.0,36.0,A,A,A,A,B,A,0,1,1,0,0,24,60,12,1,A,A,B,B,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,1,1,0,,,,
sh30401014,富田中学校,33.6469634,135.405933,白浜町十九渕545番地,1003,0739-45-0073,100,40.0,60.0,A,A,B,A,A,A,0,1,1,0,0,40,100,20,1,A,C,C,C,0,1,0,1,1,0,4,3,0,2,1,1,2,2,1,1,0,,1,1,1,,,,
sh30401012,椿小学校,33.609534100000005,135.40245900000002,白浜町椿316番地,297,0739-46-0352,103,41.0,62.0,A,A,C,A,C,A,1,1,1,0,0,41,103,20,16,A,A,A,C,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,,1,7,3,,,,ぜんそく
sh30401009,日置川拠点公民館,33.567238,135.43936000000002,白浜町日置980番地の1,417,0739-52-2660,40,16.0,24.0,A,A,B,A,A,B,1,1,1,0,0,16,40,8,2,A,A,B,B,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,,1,1,1,,,,
sh30401024,三舞中学校,33.606685999999996,135.48064,白浜町安居635番地,125,0739-53-0020,10,4.0,6.0,A,A,B,A,B,B,1,1,1,0,0,4,10,2,0,A,A,B,B,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
sh30401003,川添山村活性化支援センター,33.657934999999995,135.533837,白浜町市鹿野1100番地,59,0739-54-0001,6,2.4,3.6,A,A,B,A,B,B,1,1,1,0,0,3,6,1,0,A,A,B,B,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
sh30404033,朝来小学校体育館,33.6981216,135.421685,上富田町朝来2750,100,0739-47-0040,103,41.0,62.0,A,A,C,A,C,A,1,1,1,0,0,41,103,20,16,A,A,A,C,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,,1,7,3,,,,ぜんそく
sh30404011,生馬公民館,33.6893373,135.43959099999998,上富田町生馬1728,30,0739-47-2881,20,8.0,12.0,A,A,A,A,B,A,1,1,1,0,0,8,20,4,1,A,A,B,B,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,,,,
sh30404016,岩田小学校体育館,33.7062481,135.44388,上富田町岩田1750,30,0739-47-2120,20,8.0,12.0,A,A,A,A,B,A,1,1,1,0,0,10,20,4,1,A,A,B,A,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
sh30404021,岡小学校体育館,33.72452620000001,135.443726,上富田町岡638-1,30,0739-47-2027,20,8.0,12.0,A,A,B,A,C,C,1,1,1,0,0,12,20,5,0,A,A,C,C,1,1,0,1,1,1,1,0,2,1,0,0,0,0,0,0,1,,0,0,1,,,,
sh30404029,市ノ瀬小学校体育館,33.7126631,135.462221,上富田町市ノ瀬604,30,0739-48-0334,20,8.0,12.0,A,A,B,A,A,B,1,1,1,0,0,8,20,4,0,A,A,B,A,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,,,,
sh30404035,市ノ瀬診療所２階,33.715458,135.463538,上富田町市ノ瀬2504-8,20,0739-48-0026,20,8.0,12.0,B,A,A,A,A,A,1,1,1,0,0,10,20,5,0,A,A,B,A,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
sh30404012,上富田文化会館,33.69691160000001,135.42983,上富田町朝来758-1,100,0739-47-5930,50,20.0,30.0,A,A,C,A,A,C,1,1,1,0,0,20,50,10,2,A,A,B,C,0,1,0,1,1,1,3,4,1,2,0,1,1,2,0,1,0,,1,1,1,,,,
sh30404027,上富田町保健センター,33.696436299999995,135.430171,上富田町朝来755-1,30,0739-47-5300,20,8.0,12.0,A,A,A,A,B,A,1,1,1,0,0,8,20,4,1,A,A,B,B,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,,0,0,0,,,,
sh30406027,口和深集会センター,33.5296693,135.520667,すさみ町口和深283番地の2,30,0739-55-3234,25,10.0,15.0,A,A,A,A,A,A,0,1,1,0,0,10,25,5,0,A,A,B,B,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,,,,
sh30406016,すさみ町総合センター,33.5498696,135.496048,すさみ町周参見4120番地の1,200,0739-55-3037,180,72.0,108.0,A,A,A,A,C,A,1,1,1,0,0,72,180,40,0,A,A,B,B,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,,,,
sh30406001,地域福祉センター,33.549982199999995,135.495699,すさみ町周参見4133番地,80,0739-55-4610,70,28.0,42.0,A,A,B,A,A,B,0,1,1,0,0,28,70,15,0,A,A,C,B,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,,,,
sh30406028,見老津生活改善センター,33.5108622,135.58018700000002,すさみ町見老津295番地,40,0739-58-0077,30,12.0,18.0,A,A,A,A,B,A,0,1,1,0,0,12,30,6,0,A,A,B,B,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
sh30406008,江住小学校,33.5072763,135.600497,すさみ町江住670番地,100,0739-58-0008,103,41.0,62.0,A,A,C,A,C,A,1,1,1,0,0,41,103,20,16,A,A,A,C,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,,1,7,3,,,,ぜんそく
sh30406002,里野集会所,33.508786,135.626814,すさみ町里野526番地,30,0739-58-0005,25,10.0,15.0,A,A,A,A,A,A,0,1,1,0,0,10,25,5,0,A,A,B,B,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,,,,
sh30406029,道の駅すさみ,33.505854,135.600566,すさみ町江住808番地の1,100,0739-58-8888,100,40.0,60.0,A,A,A,A,A,A,0,1,1,0,0,40,100,20,0,A,A,B,A,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,,,,
sh30406007,すさみ町避難ビル,33.5512514,135.497717,すさみ町周参見4027番地,300,0739-55-4809,300,120.0,180.0,A,A,C,A,A,C,1,1,1,1,0,120,300,60,0,A,A,C,C,0,0,0,0,1,1,4,6,8,4,0,1,1,4,1,0,0,,0,1,0,,,,
sh30406030,周参見保育所,33.556515999999995,135.510805,すさみ町周参見2871番地の1,400,0739-55-2079,380,152.0,228.0,A,A,C,A,A,C,1,1,1,0,0,152,380,76,0,A,A,B,C,0,0,0,0,1,1,12,14,2,10,1,0,1,2,1,1,0,,1,1,1,,,,
sh30406024,公民館佐本分館,33.5892255,135.62467,すさみ町佐本中228番地の2,50,0739-57-0401,45,18.0,27.0,A,A,A,A,A,A,0,1,1,0,0,18,45,9,0,A,A,B,A,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,,0,0,0,,,,
